nome,descrizione,categoria,immagine,artista,anno_uscita,link_streaming,etichetta,
Ahia!,"Ahia! è il secondo EP dei Pinguini Tattici Nucleari, pubblicato il 4 dicembre 2020 per l'etichetta Sony Music. L'uscita dell'EP è stata anticipata dai singoli La storia infinita e Scooby Doo, e dall'omonimo romanzo del frontman Riccardo Zanotti, edito da Arnoldo Mondadori Editore il 3 novembre 2020.",Pop,"",Pinguini Tattici Nucleari,2020,https://open.spotify.com/album/0b2peKNz7zmn4xIxfPBUPa?si=3061a729a93c4608,Sony Music
Pop-hoolista,"Pop-hoolista è il quarto album in studio di Fedez, pubblicato il 30 settembre 2014. L'album presenta una forte impronta politica e sociale, con collaborazioni di vari artisti della scena italiana.",Pop,"",Fedez,2014,https://open.spotify.com/album/3MJfMtxaK8aHRFQk1Aqzcl?si=U85oRtUUQymmVwvrXdoUMQ,Newtopia/Sony Music
Possibili Scenari,"Possibili Scenari è il quinto album in studio di Cesare Cremonini, uscito il 24 novembre 2017. L'album segna una maturazione stilistica dell'artista, con testi poetici e arrangiamenti sofisticati.",Pop,"",Cesare Cremonini,2017,https://open.spotify.com/album/1tcX4ysSZEeMMshVVbkkDa?si=pERttmlSSr6k2B0Uy7NoIA,Universal Music Italia
Thriller,"Thriller è il sesto album in studio di Michael Jackson, pubblicato il 30 novembre 1982. È l'album più venduto di tutti i tempi e include brani iconici come Billie Jean e Beat It.",Pop,"",Michael Jackson,1982,https://open.spotify.com/album/1C2h7mLntPSeVYciMRTF4a?si=EJe42qC6QfiSTWVmouIYZQ,Epic Records
Future Nostalgia,"Future Nostalgia è il secondo album in studio di Dua Lipa, uscito il 27 marzo 2020. Ha segnato un ritorno al pop e alla disco anni '80, con successi come Don't Start Now e Levitating.",Pop,"",Dua Lipa,2020,https://open.spotify.com/album/7fJJK56U9fHixgO0HQkhtI?si=Il71tSWpRLiFIskH4kR3xg,Warner Records
Like a Virgin,"Like a Virgin è il secondo album in studio di Madonna, pubblicato il 12 novembre 1984. È considerato uno degli album più influenti del pop anni '80.",Pop,"",Madonna,1984,https://open.spotify.com/album/2IU9ftOgyRL2caQGWK1jjX?si=olgUbfmVSNqfsIzem9S0dA,Sire Records
Bollicine,"Bollicine è l'ottavo album in studio di Vasco Rossi, pubblicato nel 1983. Contiene il celebre brano Vita spericolata.",Rock,"",Vasco Rossi,1983,https://open.spotify.com/album/5WUD0byhd6mQvKnPATSwpo?si=44d518d7c1cf484d,Carosello Records
17 Re,"17 Re è il secondo album in studio dei Litfiba, pubblicato nel 1986. È considerato un capolavoro del rock italiano.",Rock,"",Litfiba,1986,https://open.spotify.com/album/7sKhCjOQRo08dgtdRG9UyY?si=69bad55142254c20,IRA Records
Hai paura del buio?,"Hai paura del buio? è il quarto album in studio degli Afterhours, pubblicato nel 1997. È uno dei dischi più importanti del rock alternativo italiano.",Rock,"",Afterhours,1997,https://open.spotify.com/album/4hcEsTRkJkDdUsvVKI0oMF?si=8aeb070328424d97,Mescal
The Dark Side of the Moon,"The Dark Side of the Moon è l'ottavo album in studio dei Pink Floyd, pubblicato nel 1973. È uno degli album più iconici della storia del rock.",Rock,"",Pink Floyd,1973,https://open.spotify.com/album/4LH4d3cOWNNsVw41Gqt2kv?si=930536a10d164ff3,Harvest Records
Nevermind,"Nevermind è il secondo album in studio dei Nirvana, pubblicato nel 1991. Contiene la celebre Smells Like Teen Spirit.",Rock,"",Nirvana,1991,https://open.spotify.com/album/2UJcKiJxNryhL050F5Z1Fk?si=42d91088dbd94a85,DGC Records
IV,"IV è il quarto album in studio dei Led Zeppelin, pubblicato nel 1971. Contiene Stairway to Heaven, uno dei brani rock più celebri di sempre.",Rock,"",Led Zeppelin,1971,https://open.spotify.com/album/5EyIDBAqhnlkAHqvPRwdbX?si=a8ad1bcb63e04470,Atlantic Records
Going Hard 3,"Going Hard 3 è il terzo mixtape del rapper italiano Tony Boy, pubblicato il 6 dicembre 2024 dalla Warner Music Italy.",Rap,"",Tony Boy,2024,"https://open.spotify.com/intl-it/album/0oziYx99Q1JEAzHl5bZlra?si=W3MncaorR2iWvNmJ7pIFFA",Warner Music
23 6451,"23 6451 è il primo album in studio del rapper e produttore italiano Thasup, pubblicato il 15 novembre 2019 dalla Epic Records come Tha Supreme. L'album è stato posizionato alla terza posizione dei 20 miglior dischi italiani dell'anno stilata dalla rivista Rolling Stone Italia.",Rap,"",Tha Supreme,2019,https://open.spotify.com/album/2zBib5x7l1D5KPXPEePOab?si=1a41cf78182f4dce,Sony Music
Raptus 3,"Raptus 3 è il terzo capitolo della trilogia di album di Nayt, uscito nel 2019. L'album mostra la maturazione artistica del rapper.",Rap,"",Nayt,2019,https://open.spotify.com/album/04gdaRtg56whGgaaPnUsr4?si=f632430019f74c97,Columbia Records
Goodbye And Good Riddance,"Goodbye & Good Riddance è il primo album in studio di Juice WRLD, pubblicato nel 2018. Include successi come Lucid Dreams.",Rap,"",Juice WRLD,2018,https://open.spotify.com/album/6tkjU4Umpo79wwkgPMV3nZ?si=69c4961e69b34404,Interscope Records
We Love You Tecca,"We Love You Tecca è il mixtape di debutto di Lil Tecca, pubblicato nel 2019.",Rap,"",Lil Tecca,2019,https://open.spotify.com/album/1I6FpscJIfwf4T56VxGVsB?si=e29ab1a6968e4b62,Republic Records
Still Sleep?,"Still Sleep? è un album del rapper Sleepy Hallow, pubblicato nel 2021.",Rap,"",Sleepy Hallow,2021,https://open.spotify.com/album/38nZLvJx8A9p4YYpTG5iFP?si=fed27b291e9c4b78,RCA Records
Sincerely Kentrell,"Sincerely, Kentrell è un album del rapper NBA YoungBoy, uscito nel 2021.",Rap,"",NBA YoungBoy,2021,https://open.spotify.com/album/4ssppGN0Qy4OeJTUDr1Etd?si=97495fde7c5b434b,Atlantic Records
THE GOAT,"THE GOAT è il secondo album in studio del rapper statunitense Polo G, pubblicato nel 2020. L'album ha riscosso grande successo grazie a brani come Martin & Gina e 21.",Rap,"",Polo G,2020,https://open.spotify.com/album/39xhYyNNDatQtgKw2KdXMz?si=075e03dc16404a87,Columbia Records
LUV IS RAGE,"Luv Is Rage è il mixtape di debutto del rapper Lil Uzi Vert, pubblicato nel 2015. Ha contribuito a lanciare la sua carriera nella scena trap.",Rap,"",Lil Uzi Vert,2015,https://open.spotify.com/album/733e1ZfktLSwj96X5rsMeE?si=e2c78795bfeb4e01,Generation Now
DNA,"DNA è il secondo album in studio del rapper italiano Ghali, pubblicato nel 2020. L'album mostra influenze pop e urban.",R&B,"",Ghali,2020,https://open.spotify.com/album/5XC9aklfsZpII3ybewZb2l?si=310e595fda7b46a7,Sto Records
Gioventù Bruciata,"Gioventù Bruciata è il primo album in studio di Mahmood, pubblicato nel 2019. Contiene il brano vincitore di Sanremo 2019, Soldi.",R&B,"",Mahmood,2019,https://open.spotify.com/album/66vkclmRoFqj4IYEnKGKPU?si=77bcfe6afcd94719,Universal 
Chicopisco,"Chicopisco è il primo EP del rapper italiano Neffa, pubblicato nel luglio 1999 dalla Universal Music Group.",R&B,"",Neffa,1999,"https://open.spotify.com/album/1jrbZu9ir8N5jydnX9hURa?si=5289532b1ccd49f8",Universal
After Hours,"After Hours è il quarto album in studio di The Weeknd, pubblicato nel 2020. Include successi globali come Blinding Lights e Save Your Tears.",R&B,"",The Weeknd,2020,https://open.spotify.com/album/4yP0hdKOZPNshxUOjY0cZj?si=0f10137289704472,Republic Records
Lemonade,"Lemonade è il sesto album in studio di Beyoncé, pubblicato nel 2016. È un album visivo con un forte messaggio sociale e personale.",R&B,"",Beyoncé,2016,https://open.spotify.com/album/7dK54iZuOxXFarGhXwEXfF?si=80982e6be52b40a4,Parkwood Entertainment
Songs in A Minor,"Songs in A Minor è l'album di debutto di Alicia Keys, pubblicato nel 2001. Contiene il celebre brano Fallin'.",R&B,"",Alicia Keys,2001,https://open.spotify.com/album/5qUlPoDmNxCSzqVx81RDLJ?si=3960779895214614,J Records
Paris Milonga,"Paris Milonga è un album di Paolo Conte, pubblicato nel 1981. È uno dei suoi lavori più iconici, con il brano Via con me.",Jazz,"",Paolo Conte,1981,https://open.spotify.com/album/5atLQFGPCuUwcj4J2xm69E?si=31ffc6c799ef4004,RCA Records
The Pilgrim and the Stars,"The Pilgrim and the Stars è un album di Enrico Rava, pubblicato nel 1975. È un classico del jazz italiano.",Jazz,"",Enrico Rava,1975,https://open.spotify.com/album/4st3DsIytNctEzEt9CDBJy?si=fc3c555cfba644af,ECM Records
Ella in Berlin,"Ella in Berlin: Mack the Knife è un album live di Ella Fitzgerald, registrato nel 1960. È uno dei suoi lavori più celebri.",Jazz,"",Ella Fitzgerald,1960,https://open.spotify.com/album/5R53NoBwIqJDgNWMhu1Due?si=f0709b2234074a2c,Verve Records
Kind of Blue,"Kind of Blue è uno degli album jazz più celebri di sempre, pubblicato da Miles Davis nel 1959.",Jazz,"",Miles Davis,1959,https://open.spotify.com/album/1weenld61qoidwYuZ1GESA?si=88e86c7397814fcc,Columbia Records
A Love Supreme,"A Love Supreme è un album capolavoro del jazz, realizzato da John Coltrane nel 1965.",Jazz,"",John Coltrane,1965,https://open.spotify.com/album/7Eoz7hJvaX1eFkbpQxC5PA?si=f2217ff766d54d36,Impulse! Records